Nguồn,Số câu,Số từ,URL
Wikipedia,86,2765,https://vi.wikipedia.org/wiki/Tr%C3%AD_tu%E1%BB%87_nh%C3%A2n_t%E1%BA%A1o
Báo điện tử,1,39,https://vnexpress.net/chu-tich-fpt-ai-se-thay-doi-moi-nganh-nghe-4724567.html
Báo nhân dân 1,6,178,https://nhandan.vn/trao-huy-hieu-tuoi-tre-dung-cam-tang-sinh-vien-cuu-nguoi-khoi-dam-chay-o-linh-nam-post951116.html
Báo nhân dân 2,10,329,https://nhandan.vn/trung-uong-doan-thanh-nien-cong-san-ho-chi-minh-don-nhan-huan-chuong-lao-dong-hang-nhat-post951100.html
Báo nhân dân 3,7,236,https://nhandan.vn/viet-nam-va-bulgaria-day-manh-quan-he-huu-nghi-hop-tac-giua-cac-dia-phuong-post951154.html
